id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SUN3	SUN3	73.9230832751441	-2.20454471286635	0.596935034117781	-3.69310659764589	0.00022153110633072	0.0464493118144148
FGG	FGG	6560.32538642625	-2.19745337349245	0.599081250173401	-3.66803897277107	0.000244417934436329	0.0478384649582043
PSCA	PSCA	450.745647227221	-2.18563911219215	0.569877845194814	-3.83527650815235	0.000125423110796104	0.0327432708622079
ENSG00000243587	ENSG00000243587	34.7046137409007	-2.17812038838126	0.439985614231931	-4.95043546408566	7.40476091912354e-07	0.00168707380140977
GBX2	GBX2	8.70286147588037	-2.1543909977251	0.554185025503348	-3.88749406530489	0.000101284463261981	0.0302189430746639
MTRNR2L1	MTRNR2L1	357.820024699646	-2.13135713824134	0.599777293251802	-3.5535809078163	0.000380024282006927	0.0626590036556421
HIST1H1PS1	HIST1H1PS1	8.79268570383231	-2.12829273042997	0.57750088317175	-3.68534974135617	0.000228388794835096	0.0465110902688313
SOX30	SOX30	36.2048562588731	-2.10930335835822	0.507107281031872	-4.15948150865862	3.18970841499245e-05	0.0150831079804794
ERVMER34-1	ERVMER34-1	207.995786707061	-2.10322024556534	0.436693543921112	-4.81623846938593	1.46289682527762e-06	0.00216502857303877
SULT4A1	SULT4A1	28.6754105172676	-2.09699204211186	0.594502691460179	-3.52730453912895	0.000419813596583164	0.0651149669423989
LINC02081	LINC02081	57.3068385530745	-2.08069408318326	0.486224274293027	-4.27928878336771	1.87491467493e-05	0.0102150242571947
LINC00858	LINC00858	22.8675740853344	-2.0664283971044	0.600081024464762	-3.44358230448553	0.000574061836030386	0.0761949856090674
NRG4	NRG4	63.162731785851	-2.06256022574946	0.526771513664989	-3.91547411400303	9.02267254981138e-05	0.0286235720814396
MIR137HG	MIR137HG	2.88094423420547	-2.06242409487972	0.569040264083787	-3.62439044309181	0.000289643764903078	0.0522233959424528
GABRQ	GABRQ	8.7493477752901	-2.05844721360934	0.570400137178634	-3.60877755708655	0.000307643252606593	0.0535427444224058
DUXAP8	DUXAP8	118.491875121747	-2.04122530841564	0.507830384735833	-4.01950212072769	5.83212568589366e-05	0.0224868821445949
LINC00491	LINC00491	11.8527181962958	-2.03061048326487	0.600240864547694	-3.38299273375034	0.000717005293167246	0.0839700311091473
HIST1H2AI	HIST1H2AI	21.5488830934538	-2.0265453949728	0.461026479773901	-4.39572450581725	1.10403887340713e-05	0.00745901892131227
SPX	SPX	75.1850137664102	-2.01750095826118	0.579008238430368	-3.48440803490192	0.000493226930060057	0.0702343938702565
CYP24A1	CYP24A1	2023.94228241291	-2.01579364155068	0.553838089984657	-3.63968040119184	0.000272976638403092	0.050676596382654
FGA	FGA	8553.94272776154	-2.00699561781456	0.599473674489296	-3.34792953089118	0.000814177110765113	0.0883329296536592
EEF1A2	EEF1A2	2010.9845334939	-2.00691028909609	0.584606036246578	-3.43292775760804	0.00059710117212374	0.0787607872408693
DUSP4	DUSP4	4811.8335563561	-2.00291997333552	0.48775704041119	-4.10638864719824	4.01893065030889e-05	0.0176056293235355
BDNF	BDNF	59.1297135564504	-2.00199523257239	0.439713923260156	-4.55294937610588	5.28990059745501e-06	0.00495103839131566
LINC01597	LINC01597	22.2475557195407	-1.99377299353454	0.559321023795599	-3.56463088049977	0.000364368600977428	0.0609659125447692
AC079949.1	AC079949.1	7.8126401983547	-1.97837445483477	0.563398939497765	-3.5114983649035	0.000445588203961087	0.0654590699154629
HHIPL2	HHIPL2	366.535759632995	-1.97586325527558	0.577292577398894	-3.42263755438919	0.000620167103203214	0.07987853475134
AC073592.2	AC073592.2	4.47473601503878	-1.96620359243698	0.491659677125881	-3.99911500558866	6.35797814055718e-05	0.0230834540393262
MYEOV	MYEOV	880.242239750642	-1.96461453077066	0.558608718342761	-3.51697792436741	0.000436490082448448	0.0651149669423989
HIST1H3D	HIST1H3D	30.0329579745511	-1.96415963273366	0.554475664491687	-3.54237301746019	0.000396544291464024	0.0639051442127379
AL589743.1	AL589743.1	12.3163002622703	-1.96370245767771	0.520510652516097	-3.77264605092205	0.000161525356240518	0.0385537950295226
AP005230.1	AP005230.1	15.9622404535367	-1.96017854175255	0.565986279246616	-3.46329692720067	0.00053359920324767	0.0730768482611645
HIST1H2BG	HIST1H2BG	43.4829655260757	-1.95908020715598	0.501422453002934	-3.9070452378496	9.34316661506082e-05	0.0292698052133318
DUX4L27	DUX4L27	8.88949369433696	-1.95536979885906	0.573274343645622	-3.41087966090421	0.000647536637884931	0.0811428160933607
HIST1H3E	HIST1H3E	15.7266916170124	-1.94780097048874	0.417476347769755	-4.66565586504313	3.07634197983142e-06	0.00335214272602326
HOXA1	HOXA1	102.415323251693	-1.93869970744595	0.517783796542281	-3.74422629752501	0.000180950509890752	0.0413090390760695
FSTL4	FSTL4	687.561321051043	-1.93586414073545	0.584014957068407	-3.31475096194959	0.000917248026407681	0.0946011112667873
HOXA10	HOXA10	146.931194678611	-1.93434797261179	0.58142675867844	-3.32689877742897	0.000878182670585057	0.0924748491184988
LY6K	LY6K	425.957202375153	-1.91657502011145	0.573904988708163	-3.33953364724286	0.000839191842019923	0.0895704895285398
DUXAP9	DUXAP9	11.692106311344	-1.9095227507048	0.485966633725751	-3.92932892545544	8.51832536356464e-05	0.027725489644371
LEP	LEP	4.10182532189574	-1.89273810911288	0.534437590982484	-3.54155123263946	0.000397781601515726	0.0639051442127379
AL031777.1	AL031777.1	10.4487132099945	-1.85221822186468	0.503889024669701	-3.67584553578799	0.000237062933678625	0.0471529463797913
AC010735.2	AC010735.2	20.434571860408	-1.83796518706906	0.516502573643893	-3.55848214676325	0.000373004139693959	0.0619088062848344
HIST1H2BO	HIST1H2BO	7.2076958202942	-1.82089718439631	0.517652822723952	-3.51760312020424	0.00043546311784636	0.0651149669423989
GAL3ST2	GAL3ST2	9.30387730847473	-1.80813484044503	0.489408818959671	-3.69452852175521	0.000220295166261273	0.0464493118144148
KRT78	KRT78	15.2927916153959	-1.7881013032906	0.531468262113609	-3.36445547318189	0.000766948584890063	0.0863579053656582
AC009686.2	AC009686.2	17.7876876373042	-1.74525148002381	0.422727411451951	-4.12855053337884	3.65057215856897e-05	0.0166346617160101
KHDRBS2	KHDRBS2	33.7641193312406	-1.7415620404959	0.492934405040852	-3.53305028556805	0.000410794327992951	0.0651149669423989
CASC8	CASC8	48.5717007417854	-1.73537126781794	0.521500374833692	-3.32765104602533	0.000875814960801471	0.0924748491184988
OPN3	OPN3	1443.78844628538	-1.73398899518074	0.511157537493194	-3.39227902944467	0.000693138147216418	0.082329043817715
SLC26A4	SLC26A4	99.7871747127831	-1.73367043835795	0.449119864990954	-3.86015087173414	0.000113317038539053	0.0320173348774317
BMP6	BMP6	322.338924766737	-1.7042986587525	0.503555687814727	-3.38452866285478	0.000713005741788531	0.0838936615056533
SOX15	SOX15	67.9755820729008	-1.68790259127419	0.466554099838565	-3.61780679209169	0.000297110050680011	0.0528097311357619
GLDC	GLDC	106.302561693869	-1.65482476885025	0.472714417736122	-3.50068605221599	0.000464062182823543	0.0676181768949049
POT1-AS1	POT1-AS1	63.3035754328788	-1.644247492332	0.446504399124925	-3.68248889720786	0.000230967930104617	0.0465110902688313
HIST1H1C	HIST1H1C	2258.32878516155	-1.62809399807718	0.424469965080373	-3.83559293239724	0.00012526172978511	0.0327432708622079
AL109615.3	AL109615.3	117.288549307583	-1.62610615988851	0.468187491714281	-3.47319436906458	0.000514302749618054	0.0720780524634202
SLC16A14	SLC16A14	956.481984443047	-1.62335213702292	0.490937245080309	-3.30663878793178	0.00094422562551929	0.0968772921296567
LYPD3	LYPD3	539.154727889797	-1.60416637648408	0.47513007817344	-3.37626778471074	0.000734763674071532	0.0844708587136731
IGLV1-41	IGLV1-41	49.2721504386146	-1.58286632748513	0.481487602464562	-3.28744981051019	0.00101099208305498	0.0997538723839528
HIST1H3H	HIST1H3H	143.986884307657	-1.56426164391186	0.457071519714137	-3.42235640691459	0.000620808790124148	0.07987853475134
CHML	CHML	1776.16521574554	-1.55926911879617	0.433912312138689	-3.59351204189337	0.000326250563717936	0.0563895974337857
SLC2A1	SLC2A1	11459.9290879269	-1.53631909442346	0.442369231105835	-3.47293388959934	0.000514802146315227	0.0720780524634202
POC1B-GALNT4	POC1B-GALNT4	11.2504693962732	-1.47796979638708	0.403419055867566	-3.66360927896342	0.000248686045257005	0.0478384649582043
DNMT3B	DNMT3B	206.843758584361	-1.34326590816453	0.406916056999723	-3.30108848018609	0.00096310504803778	0.0973279786851727
CYP2T1P	CYP2T1P	78.4441346140443	-1.27152657067171	0.364019093746868	-3.49302163681531	0.000477587810657686	0.0686152059312712
HIST2H2BE	HIST2H2BE	798.490899947252	-1.26923541217215	0.372968513477366	-3.40306317103944	0.000666348721382142	0.082329043817715
CHMP4C	CHMP4C	1116.51637206788	-1.21820560106005	0.310899269674295	-3.91832892478733	8.91649785603889e-05	0.0286235720814396
ZBTB12	ZBTB12	237.041722805724	-1.2147867200734	0.349613364280148	-3.47465756228923	0.000511505867426504	0.0720780524634202
CKS1B	CKS1B	968.887636520578	-1.15324485904735	0.262903582441553	-4.38656958698436	1.1515233608091e-05	0.00745901892131227
PITPNC1	PITPNC1	1217.8920021054	-1.00813770929012	0.305065417416092	-3.30466074401045	0.000950914287123755	0.0968772921296567
TUFT1	TUFT1	1487.75990179328	-0.977485576388956	0.281619612110441	-3.4709428404639	0.000518634386169251	0.072211194367632
FKBP4	FKBP4	4452.33001677656	-0.899857978808989	0.269569772469802	-3.33812641738158	0.000843453656082331	0.0895704895285398
EHMT2	EHMT2	2795.07217074066	-0.896195106762458	0.271764958066609	-3.29768456219731	0.00097485583376494	0.0981198269309916
